FECHA,DEPARTAMENTO,MUNICIPIO,DIA,HORA,BARRIO,ZONA,CLASE SITIO,MARCA,LINEA,ARMA EMPLEADA,MOVIL VICTIMA,MOVIL AGRESOR,EDAD,GENERO,PAIS PERSONA,EMPLEADO,ESTADO  CIVIL,ESCOLARIDAD ,CODIGO DANE,2014
01/01/2014 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,6:00,BERLIN SUBA E-11,URBANA,RODANDO SOBRE VIA - VIA PUBLICA,NO REPORTADO,LINEA STANDARD,SIN EMPLEO DE ARMAS,CONDUCTOR TAXI,A PIE,61,MASCULINO,NO REPORTADO,INDEPENDIENTE,CASADO,SECUNDARIA,11001000,1
01/01/2014 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,6:00,LA TOSCANA E-11,URBANA,RODANDO SOBRE VIA - VIA PUBLICA,NO REPORTADO,NO REPORTADO,SIN EMPLEO DE ARMAS,CONDUCTOR TAXI,A PIE,35,MASCULINO,COLOMBIA,EMPLEADO PARTICULAR,CASADO,SECUNDARIA,11001000,1
01/01/2014 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,10:00,ALFONSO LOPEZ E-5,URBANA,VIAS PUBLICAS,NO REPORTADO,NO REPORTADO,CONTUNDENTES,A PIE,A PIE,43,MASCULINO,COLOMBIA,INDEPENDIENTE,UNION LIBRE,SECUNDARIA,11001000,1
01/01/2014 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,10:00,EL RINCÓN DE IBERIA E-11,URBANA,LOCAL COMERCIAL,NO REPORTADO,NO REPORTADO,SIN EMPLEO DE ARMAS,A PIE,A PIE,31,FEMENINO,COLOMBIA,EMPLEADO PARTICULAR,SOLTERO,SECUNDARIA,11001000,2
01/01/2014 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,10:40,ARBOLEDA DE LOS ALPES E-4,URBANA,VIAS PUBLICAS,-,NO REPORTADO,SIN EMPLEO DE ARMAS,A PIE,A PIE,22,MASCULINO,COLOMBIA,INDEPENDIENTE,SOLTERO,SECUNDARIA,11001000,1
01/01/2014 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,15:00,CANDELARIA III-IV E-19,URBANA,VIAS PUBLICAS,NOKIA,NO REPORTADO,CONTUNDENTES,A PIE,A PIE,56,MASCULINO,COLOMBIA,EMPLEADO PARTICULAR,UNION LIBRE,SECUNDARIA,11001000,1
01/01/2014 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,19:00,VERAGUAS E-14,URBANA,VIAS PUBLICAS,NO REPORTADO,NO REPORTADO,SIN EMPLEO DE ARMAS,A PIE,A PIE,38,FEMENINO,COLOMBIA,EMPLEADO PARTICULAR,UNION LIBRE,SECUNDARIA,11001000,1
01/01/2014 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,19:55,GUACAMAYAS I-II E-4,URBANA,VIAS PUBLICAS,NO REPORTADO,NO REPORTADO,ARMA BLANCA,A PIE,A PIE,26,FEMENINO,COLOMBIA,EMPLEADO PARTICULAR,SOLTERO,SECUNDARIA,11001000,1
01/01/2014 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,20:00,SANTA INES E-3,URBANA,ESTACION TRANSMILENIO (INICIAL),-,NO REPORTADO,SIN EMPLEO DE ARMAS,A PIE,A PIE,23,FEMENINO,COLOMBIA,EMPLEADO PARTICULAR,SOLTERO,SECUNDARIA,11001000,1
02/01/2014 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,8:30,LA PERLA E-10,URBANA,VIAS PUBLICAS,NOKIA,NO REPORTADO,ARMA BLANCA,A PIE,A PIE,19,FEMENINO,COLOMBIA,ESTUDIANTE,SOLTERO,SUPERIOR,11001000,1
